"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Armary, P.; El-Vaigh, C.-B.; Spicher, A.; Labbani, O.L.; Nicolle, C.","Armary, Pauline (57343740900); El-Vaigh, Cheikh Brahim (57215140642); Spicher, Antoine (59549867900); Labbani, Ouassila (56630364100); Nicolle, Christophe (6701366851)","57343740900; 57215140642; 59549867900; 56630364100; 6701366851","Identifying Logical Patterns in Text for Reasoning","2024","Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI","","","","837","844","0","10.1109/ICTAI62512.2024.00122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217432359&doi=10.1109%2FICTAI62512.2024.00122&partnerID=40&md5=57088e55fc285fbc3412ea1f7c228efb","Université Bourgogne Europe, Dijon, Bourgogne-Franche-Comte, France; Université Bourgogne Europe, Dijon, Bourgogne-Franche-Comte, France; Department of Research and Development, Anabasis Assets, Saint-Denis, France","Armary, Pauline, Université Bourgogne Europe, Dijon, Bourgogne-Franche-Comte, France; El-Vaigh, Cheikh Brahim, Université Bourgogne Europe, Dijon, Bourgogne-Franche-Comte, France; Spicher, Antoine, Department of Research and Development, Anabasis Assets, Saint-Denis, France; Labbani, Ouassila, Université Bourgogne Europe, Dijon, Bourgogne-Franche-Comte, France; Nicolle, Christophe, Université Bourgogne Europe, Dijon, Bourgogne-Franche-Comte, France","Translating unstructured text into logical format is a key challenge for building ontologies automatically and addressing deductive inference. Most of the approaches have tackled the identification of concepts and relations in text, but few of them have addressed the most complex axioms like class expression subsumption. This work proposes DeLIR, a neuro-symbolic approach to identify complex logical patterns in text by combining a grammatical translation of dependency parsing trees and a fine-tuned Large language Model (LLM). DeLIR combines the strength of the parsing accuracy provided by a grammatical approach and pattern flexibility provided by a finetuned LLM. We evaluated our approach on FOLIO dataset for both translation capacity and inference capability. Our grammatical approach has a perfect parsing accuracy and combining the grammatical approach with LLMs improves the LLMS translation capacity: tinyLlama, T5-small-text2logic, Llama-7B and Mistral-7B. We also evaluate the inference capacity of the different LLMs. Mistral-7B, while being smaller than the state-of-the-art approach using GPT-4, presents similar results to predict the correct inference labels. © 2024 IEEE.","Natural Language Inference; Ontology Learning; Translation to Logic","Computer aided language translation; Computer circuits; Contrastive Learning; Dependency parsing; Language inference; Language model; Natural language inference; Natural languages; Ontology learning; Ontology's; State-of-the-art approach; Translation to logic; Unstructured texts; Ontology","","","IEEE Computer Society","10823409","9780769527284; 0769527280; 9798350397444; 9798350342734; 9780769530154; 9781424456192; 9780769545967; 9780769549156; 9781538674499; 076953015X","PCTIF","","English","Proc. Int. Conf. Tools Artif. Intell. ICTAI","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85217432359"
"Jiang, J.; Shuai, L.; Zeng, Q.","Jiang, Junfeng (55648127900); Shuai, Lei (59548886200); Zeng, Qiang (59548834200)","55648127900; 59548886200; 59548834200","ABLSpineLevelCheck: Localization of Vertebral Levels on Fluoroscopy via Semi-supervised Abductive Learning","2024","Proceedings - 2024 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2024","","","","3347","3350","2","10.1109/BIBM62325.2024.10822817","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217277475&doi=10.1109%2FBIBM62325.2024.10822817&partnerID=40&md5=7540b64d9439c0b50292ed4ee5e8d247","College of AI and Automation, Hohai University Changzhou, Changzhou, Jiangsu, China","Jiang, Junfeng, College of AI and Automation, Hohai University Changzhou, Changzhou, Jiangsu, China; Shuai, Lei, College of AI and Automation, Hohai University Changzhou, Changzhou, Jiangsu, China; Zeng, Qiang, College of AI and Automation, Hohai University Changzhou, Changzhou, Jiangsu, China","Deep learning has demonstrated promising efficacy in the localization of vertebrae within X-ray images, although it is recognized for its deficiencies in compositional generalization, data efficiency, and interpretability. To address this issue, we introduce an abductive learning mechanism, situated within the neuro-symbolic paradigm, tailored for semi-supervised vertebral localization. Initially, unannotated spinal fluoroscopic images are processed by the networks to infer pseudo-labels for vertebra localization. Subsequently, these pseudo-labels undergo abductive reasoning via a knowledge base comprised of first-order logical clauses. The networks are then re-trained using the abducted outcomes. Additionally, we propose an ensemble technique that amalgamates semantic detection of vertebral levels with instance detection. To further enhance performance, we have synthesized a dataset and annotated the BUU dataset for network pre-training. Ablation studies validate the efficacy of the proposed components in our methodology. Furthermore, comparative analyses reveal that our approach significantly surpasses the leading object detection algorithms, exhibiting superior performance with minimal annotations. © 2024 IEEE.","Abductive learning; Fluoroscopy; Vertebrae Localization","Adversarial machine learning; Contrastive Learning; Deep learning; Federated learning; Image annotation; Musculoskeletal system; Semi-supervised learning; Abductive learning; Fluoroscopy; Generalisation; Interpretability; Learning mechanism; Localisation; Performance; Semi-supervised; Vertebra localization; X-ray image; Self-supervised learning","J. Jiang; Hohai University, College of Ai and Automation, Changzhou, China; email: jiangjf.hhu@gmail.com","Cannataro, M.; Zheng, H.; Gao, L.; Cheng, J.; de Miranda, J.L.; Zumpano, E.; Hu, X.; Cho, Y.-R.; Park, T.","Institute of Electrical and Electronics Engineers Inc.","","9798350386226","","","English","Proc. - IEEE Int. Conf. Bioinform. Biomed., BIBM","Conference paper","Final","","Scopus","2-s2.0-85217277475"
"Pomârlan, M.; de Giorgis, S.; Ringe, R.; Hedblom, M.M.; Tsiogkas, N.","Pomârlan, Mihai (35410087600); de Giorgis, Stefano (57194034894); Ringe, Rachel (58727971100); Hedblom, Maria M. (56458551200); Tsiogkas, Nikolaos (56071685300)","35410087600; 57194034894; 58727971100; 56458551200; 56071685300","Hanging Around: Cognitive Inspired Reasoning for Reactive Robotics","2024","Frontiers in Artificial Intelligence and Applications","394","","","2","15","4","10.3233/FAIA241288","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217059373&doi=10.3233%2FFAIA241288&partnerID=40&md5=a8d3934f0d0005646a238eed6b1a2142","Applied Linguistics Department, Universität Bremen, Bremen, Bremen, Germany; Istituto Di Scienze E Tecnologie Della Cognizione, Rome, Rome, RM, Italy; Universität Bremen, Bremen, Bremen, Germany; Department of Computing, Jönköping School of Engineering, Jonkoping, Sweden; Department of Computer Science, KU Leuven, Leuven, Vlaams-Brabant, Belgium","Pomârlan, Mihai, Applied Linguistics Department, Universität Bremen, Bremen, Bremen, Germany; de Giorgis, Stefano, Istituto Di Scienze E Tecnologie Della Cognizione, Rome, Rome, RM, Italy; Ringe, Rachel, Universität Bremen, Bremen, Bremen, Germany; Hedblom, Maria M., Department of Computing, Jönköping School of Engineering, Jonkoping, Sweden; Tsiogkas, Nikolaos, Department of Computer Science, KU Leuven, Leuven, Vlaams-Brabant, Belgium","Situationally-aware artificial agents operating with competence in natural environments face several challenges: spatial awareness, object affordance detection, dynamic changes and unpredictability. A critical challenge is the agent’s ability to identify and monitor environmental elements pertinent to its objectives. Our research introduces a neurosymbolic modular architecture for reactive robotics. Our system combines a neural component performing object recognition over the environment and image processing techniques such as optical flow, with symbolic representation and reasoning. The reasoning system is grounded in the embodied cognition paradigm, via integrating image schematic knowledge in an ontological structure. The ontology is operatively used to create queries for the perception system, decide on actions, and infer entities’ capabilities derived from perceptual data. The combination of reasoning and image processing allows the agent to focus its perception for normal operation as well as discover new concepts for parts of objects involved in particular interactions. The discovered concepts allow the robot to autonomously acquire training data and adjust its subsymbolic perception to recognize the parts, as well as making planning for more complex tasks feasible by focusing search on those relevant object parts. We demonstrate our approach in a simulated world, in which an agent learns to recognize parts of objects involved in support relations. While the agent has no concept of handle initially, by observing examples of supported objects hanging from a hook it learns to recognize the parts involved in establishing support and becomes able to plan the establishment/destruction of the support relation. This underscores the agent’s capability to expand its knowledge through observation in a systematic way, and illustrates the potential of combining deep reasoning with reactive robotics in dynamic settings. © 2024 The Authors.","Image Schemas; Neurosymbolic Approaches; Situated Robotics","Modular robots; Ontology; Optical data processing; Robot programming; Affordances; Artificial agents; Image schemata; Learn+; Natural environments; Neurosymbolic approach; Reactive robotics; Situated robotic; Spatial awareness; Support relations; Optical flows","","Trojahn, C.; Porello, D.; Barcelos, P.P.F.; Barcelos, P.P.F.","IOS Press BV","09226389; 18798314","9781614993605; 9781643685830; 9781586038311; 9781614994183; 9781614999409; 9781607507987; 1586035770; 9781643685694; 9781643685427; 9781607500490","","","English","Front. Artif. Intell. Appl.","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85217059373"
"Aina, J.A.; Hedblom, M.M.","Aina, Jorge Aguirregomezcorta (59528061500); Hedblom, Maria M. (56458551200)","59528061500; 56458551200","Twist and Snap: A Neuro-Symbolic System for Affordance Learning of Opening Jars and Bottles","2024","2024 7th Iberian Robotics Conference, ROBOT 2024","","","","","","1","10.1109/ROBOT61475.2024.10797390","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216020388&doi=10.1109%2FROBOT61475.2024.10797390&partnerID=40&md5=326a5eb54b9fed211d5da2789006c000","School of Engineering, Jönköping University, Jonkoping, Jonkoping, Sweden","Aina, Jorge Aguirregomezcorta, School of Engineering, Jönköping University, Jonkoping, Jonkoping, Sweden; Hedblom, Maria M., School of Engineering, Jönköping University, Jonkoping, Jonkoping, Sweden","Autonomous robotic systems need a flexible and safe method to interact with their surroundings. When encountering unfamiliar objects, the agents should be able to identify and learn the involved affordances to apply appropriate actions. Focusing on affordance learning, we introduce a neuro-symbolic AI system with a robot simulation capable of inferring appropriate action. The system's core is a visuo-lingual attribute detection module coupled with a probabilistic knowledge base. The system is accompanied by a Unity robot simulation that is used for evaluation. The system is evaluated through caption-inferring capabilities using image captioning and machine translation metrics on a case study of opening containers. The two main affordance-action relation pairs are the jar/bottle lids that are open using either a 'twist' or a 'snap' action. The results show the system is successful in opening all 50 containers in the test case, based on an accurate attribute captioning rate of 71%. The mismatch is likely due to the 'snapping' lids being able to open also after a twisting motion. Our system demonstrates that affordance inference can be successfully implemented using a cognitive visuo-lingual method that could be generalized to other affordance cases. © 2024 IEEE.","Affordances; Autonomous robots; Hybrid intelligent systems; Hybrid learning; Inference mechanisms","Adversarial machine learning; Contrastive Learning; Inference engines; Intelligent robots; Microrobots; Nanorobots; Robot learning; Affordances; AI systems; Attribute detections; Autonomous robotic systems; Hybrid intelligent system; Hybrid learning; Inference mechanism; Learn+; Neuro-symbolic system; Robot simulations; Intelligent systems","","Marques, L.; Ferre, M.","Institute of Electrical and Electronics Engineers Inc.","","9798350376364","","","English","Iber. Robot. Conf., ROBOT","Conference paper","Final","","Scopus","2-s2.0-85216020388"
"Adriano, C.M.; Ghahremani, S.; Giese, H.","Adriano, Christian Medeiros (57211568101); Ghahremani, Sona (57193063558); Giese, Holger (7006595209)","57211568101; 57193063558; 7006595209","Principled Transfer Learning for Autonomic Systems: A Neuro-Symbolic Vision","2024","Proceedings - 2024 IEEE International Conference on Autonomic Computing and Self-Organizing Systems Companion, ACSOS-C 2024","","","","79","84","2","10.1109/ACSOS-C63493.2024.00035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214843115&doi=10.1109%2FACSOS-C63493.2024.00035&partnerID=40&md5=423dae11cf4f97151dd1d2addc627b77","Hasso-Plattner-Institut für Softwaresystemtechnik GmbH, Potsdam, Brandenburg, Germany","Adriano, Christian Medeiros, Hasso-Plattner-Institut für Softwaresystemtechnik GmbH, Potsdam, Brandenburg, Germany; Ghahremani, Sona, Hasso-Plattner-Institut für Softwaresystemtechnik GmbH, Potsdam, Brandenburg, Germany; Giese, Holger, Hasso-Plattner-Institut für Softwaresystemtechnik GmbH, Potsdam, Brandenburg, Germany","[Context] Transfer learning techniques are commonly employed to address the problem of distribution shifts and concept drifts in learning-enabled autonomic systems. Reusing previous knowledge introduces the risk of invalidating correct behavior while updating the system for a new environment. Recent approaches addressed this via specifying and learning thresholds that allow the detection of a distribution shift that induces a misprediction of an adaptive action. [Problem] These thresholds typically allow only for a low-dimensional form of reasoning. This is not sufficient for making decisions in more complex scenarios of knowledge reuse, where the different partitions of the prediction models present distinct requirements concerning knowledge transfer, e.g., reuse, update, extend, and forget. Without more nuanced reasoning about knowledge transfer, there are increased risks of catastrophic forgetting and negative transfer, i.e., losing valid knowledge after retraining. [Vision] We propose a principled approach to transfer learning, where the learning element is steered by a reasoning engine. We envision a framework that enables different levels of reasoning about the transference of the system knowledge across environments. For that, we endow the reasoning engine with the joint capability of manipulating both learned and rule-based knowledge, in other words, in a neuro-symbolic way. © 2024 IEEE.","Autonomic Systems; Neuro-Symbolic Reasoning; Transfer Learning","Adversarial machine learning; Contrastive Learning; Federated learning; Knowledge based systems; Learning systems; Self-supervised learning; Autonomic Systems; Concept drifts; Context transfer; Knowledge transfer; Learning techniques; Neuro-symbolic reasoning; Reasoning engine; Shift-and; Symbolic reasoning; Transfer learning","","","Institute of Electrical and Electronics Engineers Inc.","","9798350389760","","","English","Proc. - IEEE Int. Conf. Auton. Comput. Self-Organ. Syst. Companion, ACSOS-C","Conference paper","Final","","Scopus","2-s2.0-85214843115"
"de Giorgis, S.; Pomârlan, M.; Tsiogkas, N.","de Giorgis, Stefano (57194034894); Pomârlan, Mihai (35410087600); Tsiogkas, Nikolaos (56071685300)","57194034894; 35410087600; 56071685300","ISD8 Tutorial Report: Cognitively Inspired Reasoning for Reactive Robotics - From Image Schemas to Knowledge Enrichment","2024","CEUR Workshop Proceedings","3888","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214810992&partnerID=40&md5=c3498ea0a198a851ed538d2bc3d1d969","Consiglio Nazionale delle Ricerche, Rome, RM, Italy; Faculty of Languages, Alma Mater Studiorum Università di Bologna, Bologna, BO, Italy; Applied Linguistics Department, Universität Bremen, Bremen, Bremen, Germany; Department of Computer Science, KU Leuven, Leuven, Vlaams-Brabant, Belgium","de Giorgis, Stefano, Consiglio Nazionale delle Ricerche, Rome, RM, Italy, Faculty of Languages, Alma Mater Studiorum Università di Bologna, Bologna, BO, Italy; Pomârlan, Mihai, Applied Linguistics Department, Universität Bremen, Bremen, Bremen, Germany; Tsiogkas, Nikolaos, Department of Computer Science, KU Leuven, Leuven, Vlaams-Brabant, Belgium","This report details a tutorial on image-schematic analysis and functional object detection presented at the conference. The tutorial bridges theoretical foundations with practical applications, introducing participants to a novel framework for analyzing video content through the lens of image schemas. Through hands-on demonstrations, participants engaged with an interactive system that processes video sequences to generate rich semantic representations. The system produces multi-layered output including knowledge graphs of image schematic activations, natural language descriptions, temporal event annotations, and automatically curated storyboards with generated captions. The theoretical underpinnings of image-schematic segmentation and functional parts detection were covered, but the tutorial focused on enabling participants to effectively utilize these tools for their own research and applications. The tutorial successfully demonstrated how image-schematic analysis can be practically applied to video understanding tasks, while gathering insights from participants about desired future functionalities. This approach of combining theoretical instruction with hands-on experimentation proved effective for both teaching the technology and collecting user requirements for future development. © 2024 Copyright for this paper by its authors.","Cognitive Robotics; Commonsense Knowledge; Image Schemas; Neuro-symbolic AI","Image annotation; Image segmentation; Video recording; Cognitive robotics; Commonsense knowledge; Functional object; Image schemata; Neuro-symbolic AI; Objects detection; Reactive robotics; Theoretical foundations; Through the lens; Video contents; Semantics","S. De Giorgis; Institute of Cognitive Sciences and Technologies - National Research Council (ISTC-CNR), Catania, Italy; email: stefano.degiorgis@cnr.it","Hedblom, M.M.; Kutz, O.","CEUR-WS","16130073","9789666544899; 9788073780029; 9788024810256; 9789986342748; 9788073781712; 9782954494807; 9788024823911; 9789562361989; 8024810255; 807378002X","","","English","CEUR Workshop Proc.","Conference paper","Final","","Scopus","2-s2.0-85214810992"
"Chernobrovkin, A.","Chernobrovkin, Artem (59506733700)","59506733700","A Roadmap from Weights to Wisdom: Inspecting and Extracting Knowledge from Graph Neural Networks","2024","CEUR Workshop Proceedings","3881","","","107","114","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214520361&partnerID=40&md5=c6811e11b2e8f08541ebff8fad2dc6f7","Gran Sasso Science Institute, L'Aquila, AQ, Italy","Chernobrovkin, Artem, Gran Sasso Science Institute, L'Aquila, AQ, Italy","Graph Neural Networks (GNNs) and Graph Convolutional Networks (GCNs) are powerful Artificial Intelligence (AI) models designed to process graph-structured data efficiently. However, their decision-making processes are often difficult to interpret, functioning as “black boxes”. This research project aims to enhance the inspectability and learning capabilities of GNNs and GCNs by integrating symbolic AI while improving the representation of the knowledge they learn. The research proposal focuses on integrating logic with Neural Networks to achieve two key objectives: enhancing inspectability (RQ1) and facilitating the acquisition and representation of symbolic knowledge from sub-symbolic data (RQ2). © 2024 Copyright for this paper by its authors.","Graph Convolutional Neural Networks; Graph Neural Networks; Logic Integration; Neurosymbolic AI; Symbolic Reasoning Systems","Convolutional neural networks; Graphitization; Knowledge graph; Neural network models; Convolutional networks; Convolutional neural network; Graph neural networks; Inspectability; Logic integration; Networks and graphs; Neurosymbolic artificial intelligence; Reasoning system; Symbolic reasoning; Symbolic reasoning system","A. Chernobrovkin; Gran Sasso Science Institute (GSSI), L'Aquila, Viale Francesco Crispi, 7, 67100, Italy; email: artem.chernobrovkin@gssi.it","Coraglia, G.; D�Asaro, F.A.; Dyoub, A.; Lisi, F.A.; Primiero, G.","CEUR-WS","16130073","9789666544899; 9788073780029; 9788024810256; 9789986342748; 9788073781712; 9782954494807; 9788024823911; 9789562361989; 8024810255; 807378002X","","","English","CEUR Workshop Proc.","Conference paper","Final","","Scopus","2-s2.0-85214520361"
"Smirnov, A.; Ponomarev, A.; Levashova, T.; Teslya, N.; Shilov, N.","Smirnov, Alexander Victorovitch (55725403900); Ponomarev, Andrew V. (55858984800); Levashova, Tatiana V. (6603894696); Teslya, Nikolay N. (56946917500); Shilov, Nikolay Germanovich (55932123000)","55725403900; 55858984800; 6603894696; 56946917500; 55932123000","Platform Architecture for Human-AI Collaborative Decision Support","2024","Lecture Notes in Networks and Systems","1209 LNNS","","","334","345","0","10.1007/978-3-031-77688-5_32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214233879&doi=10.1007%2F978-3-031-77688-5_32&partnerID=40&md5=d6ed49beeb54450acef2042ff0c5a774","St. Petersburg Federal Research Center of the Russian Academy of Sciences, Saint Petersburg, Russian Federation","Smirnov, Alexander Victorovitch, St. Petersburg Federal Research Center of the Russian Academy of Sciences, Saint Petersburg, Russian Federation; Ponomarev, Andrew V., St. Petersburg Federal Research Center of the Russian Academy of Sciences, Saint Petersburg, Russian Federation; Levashova, Tatiana V., St. Petersburg Federal Research Center of the Russian Academy of Sciences, Saint Petersburg, Russian Federation; Teslya, Nikolay N., St. Petersburg Federal Research Center of the Russian Academy of Sciences, Saint Petersburg, Russian Federation; Shilov, Nikolay Germanovich, St. Petersburg Federal Research Center of the Russian Academy of Sciences, Saint Petersburg, Russian Federation","Modern decision-maker typically uses several AI-based tools to obtain more information about the problem at hand and to evaluate possible solutions, besides, decision support in complex dynamic environment typically requires knowledge of several experts, therefore, collaboration between them. These trends naturally merge in human-AI collaborative systems, providing the means of collaboration of heterogeneous participants. However, collaborative human-AI decision support is connected with many challenges, both theoretical and technological. This paper addresses the technological side of the problem by presenting a platform for human-AI collaborative decision support systems. The platform provides a set of mechanisms and interfaces, simplifying the development of such systems: team formation and collaboration features, interfaces to define, deploy and manage AI agents, and a set of structured representations facilitating interaction between human experts and AI agents. Possible application of the platform is discussed on a use case in road safety analysis. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Collaborative Decision Support Systems; Explainable AI; Human-AI Interaction; Neuro-Symbolic AI; Ontology; Service Ecosystem","Decision making; Collaborative decision support system; Collaborative decisions; Decision supports; Explainable AI; Human-AI interaction; Neuro-symbolic AI; Ontology's; Platform architecture; Service ecosystems; Support systems; Ontology","A. Ponomarev; St. Petersburg Federal Research Center of the Russian Academy of Sciences, Saint Petersburg, Russian Federation; email: ponomarev@iias.spb.su","Kovalev, S.; Sukhanov, A.; Kotenko, I.; Li, Y.; Li, Y.","Springer Science and Business Media Deutschland GmbH","23673370","9789819652372; 9783031931055; 9789819662968; 9783031999963; 9783031950162; 9783031947698; 9783032004406; 9783031910074; 9783032083807; 9783032077172","","","English","Lect. Notes Networks Syst.","Conference paper","Final","","Scopus","2-s2.0-85214233879"
"Wallace, R.; Bajracharya, R.; Aasman, J.; Norvell, C.","Wallace, Richard (57911728400); Bajracharya, Ravi (57911330500); Aasman, Jans (24831647300); Norvell, Craig (59501829900)","57911728400; 57911330500; 24831647300; 59501829900","Pruning Cycles in UMLS Metathesaurus: A Neuro Symbolic AI Approach","2024","CEUR Workshop Proceedings","3874","","","118","127","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214221614&partnerID=40&md5=7afe34058666ac6ee99c5e31c0d110d2","Franz. Inc., Lafayette, CA, United States","Wallace, Richard, Franz. Inc., Lafayette, CA, United States; Bajracharya, Ravi, Franz. Inc., Lafayette, CA, United States; Aasman, Jans, Franz. Inc., Lafayette, CA, United States; Norvell, Craig, Franz. Inc., Lafayette, CA, United States","The Unified Medical Language System (UMLS) is a set of files and software tools that brings together many health and biomedical vocabularies and standards to enable interoperability between computer systems. Maintained by the National Library of Medicine, UMLS includes over 3 million concepts and 11 million unique terms from over 200 vocabularies, including SNOMED CT, ICD-10, LOINC, MeSH, and RxNorm. The UMLS aims to facilitate the development of computer-based systems that can effectively understand and use biomedical information from various sources. However, several authors have diagnosed significant problems with the predicate relationships in UMLS, including inconsistencies, ambiguities, redundancies and, in the case of transitive relationships, cycles. This last issue, cycles, became our concern when we attempted to search for clinical codes in transitive closures of narrower UMLS concepts in an NQF (National Quality Forum) 1 query for early-onset diabetes quality metrics. To address the challenges within UMLS, the study leverages a neuro-symbolic knowledge graph framework. This innovative approach integrates logic-based semantic reasoning and Large Language Models (LLMs) to clean the UMLS graph and eliminate cycles effectively. By validating existing hierarchical and equivalence relations through this framework, the project successfully prunes a significant number of cycles (66 %) from UMLS. This outcome demonstrates the potential of Neuro-symbolic AI in enhancing the reliability and precision of biomedical information systems. A cleaned up UMLS saves time for data scientists that can have more trust in the outcome of their queries and might even save lives by being more precise in analytics underlying treatments. © 2024 Copyright for this paper by its authors.","Knowledge Graph; LLM; Neuro-Symbolic AI; UMLS","Diagnosis; Flow visualization; Knowledge graph; Medical informatics; Neurology; Problem oriented languages; Query languages; Query processing; Redundancy; Software reliability; Unified Modeling Language; Biomedical information; Biomedical vocabularies; Knowledge graphs; Language model; Large language model; Metathesaurus; National library of medicines; Neuro-symbolic AI; Software-tools; Unified medical language systems; Semantics","R. Bajracharya; Franz Inc, Lafayette, United States; email: ravi@franz.com; C. Norvell; Franz Inc, Lafayette, United States; email: craig@franz.com","Vakaj, E.; Iranmanesh, S.; Stamartina, R.; Mihindukulasooriya, N.; Tiwari, S.; Ortiz-Rodriguez, F.; Mcgranaghan, R.","CEUR-WS","16130073","9789666544899; 9788073780029; 9788024810256; 9789986342748; 9788073781712; 9782954494807; 9788024823911; 9789562361989; 8024810255; 807378002X","","","English","CEUR Workshop Proc.","Conference paper","Final","","Scopus","2-s2.0-85214221614"
"Tilwani, D.; Venkataramanan, R.; Sheth, A.","Tilwani, Deepa (58412681600); Venkataramanan, Revathy (57210563159); Sheth, Amit P. (57200763252)","58412681600; 57210563159; 57200763252","Neurosymbolic AI Approach to Attribution in Large Language Models","2024","IEEE Intelligent Systems","39","6","","10","17","0","10.1109/MIS.2024.3477108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212187481&doi=10.1109%2FMIS.2024.3477108&partnerID=40&md5=0db2092a1efc9e46efad8a3b3a5a5149","University of South Carolina, Columbia, SC, United States","Tilwani, Deepa, University of South Carolina, Columbia, SC, United States; Venkataramanan, Revathy, University of South Carolina, Columbia, SC, United States; Sheth, Amit P., University of South Carolina, Columbia, SC, United States","Attribution in large language models (LLMs) remains a significant challenge, particularly in ensuring the factual accuracy and reliability of the generated outputs. Current methods for citation or attribution, such as those employed by tools like Perplexity.ai and Bing-Search-integrated LLMs, attempt to ground responses by providing real-Time search results and citations. However, so far, these approaches suffer from issues such as hallucinations; biases; surface-level relevance matching; and the complexity of managing vast, unfiltered knowledge sources. While tools like Perplexity.ai dynamically integrate Web-based information and citations, they often rely on inconsistent sources, such as blog posts or unreliable sources, which limits their overall reliability. We explain that these challenges can be mitigated by integrating neurosymbolic AI (NesyAI), which combines the strengths of neural networks, with structured symbolic reasoning. NesyAI offers transparent, interpretable, and dynamic reasoning processes, addressing the limitations of current attribution methods by incorporating structured symbolic knowledge with flexible, neural-based learning. This article explores how NesyAI frameworks can enhance existing attribution models, offering more reliable, interpretable, and adaptable systems for LLMs. © 2001-2011 IEEE.","","Neural networks; 'current; Dynamic reasoning; Ground response; Knowledge sources; Language model; Neural-networks; Real-time searches; Relevance matching; Symbolic reasoning; Web-based information; Knowledge based systems","","","Institute of Electrical and Electronics Engineers Inc.","15411672","9781424401963; 1424401968","","","English","IEEE Intell. Syst.","Article","Final","","Scopus","2-s2.0-85212187481"
"Nechesov, A.","Nechesov, Andrey (57219501640)","57219501640","Learning Theory and Knowledge Hierarchy for Artificial Intelligence Systems","2024","2024 IEEE International Multi-Conference on Engineering, Computer and Information Sciences, SIBIRCON 2024","","","","299","302","2","10.1109/SIBIRCON63777.2024.10758505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212155519&doi=10.1109%2FSIBIRCON63777.2024.10758505&partnerID=40&md5=13bc911963780c726cb595d6cd904e00","Sobolev Institute of Mathematics of the Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Novosibirsk Oblast, Russian Federation","Nechesov, Andrey, Sobolev Institute of Mathematics of the Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Novosibirsk Oblast, Russian Federation","This work represents a continuation of our research in the realm of building Trustworthy AI and Explainable AI. The paper delves into the learning theory of intelligent systems, drawing upon classical mathematical approaches such as the task-based approach, the concept of semantic programming, computability theory, and model theory. This approach allows us to construct a knowledge base for AI systems, which can then be used to establish a natural hierarchy of knowledge within these systems. This enables AI systems to engage in continuous self-learning, as well as efficiently tackle the specific tasks they are designed for. Furthermore, AI systems can provide logical explanations for their decisions, accompanied by a set of guiding rules. This attribute of explainability, however, is notably absent in many large language models, leading us to explore the concept of hybrid AI systems, where neuro-symbolic AI integrates symbolic AI with neuro-statistical AI. © 2024 IEEE.","hierarchy of knowledge; hybrid AI; large language models; LLM; neural networks; theory of learning; trustworthy artificial intelligence","Contrastive Learning; Federated learning; Intelligent systems; Neural network models; Semantics; AI systems; Hierarchy of knowledge; Hybrid AI; Language model; Large language model; Learning Theory; LLM; Neural-networks; Theories of learning; Trustworthy artificial intelligence; Adversarial machine learning","A. Nechesov; Sobolev Insitute of Mathematics, Laboratory of Computability Theory and Applied Logic, Novosibirsk, Russian Federation; email: nechesoff@gmail.com","","Institute of Electrical and Electronics Engineers Inc.","","9798331532024","","","English","IEEE Int. Multi-Conf. Eng., Comput. Inf. Sci., SIBIRCON","Conference paper","Final","","Scopus","2-s2.0-85212155519"
