term,occurrences
autonomous robots,1
hybrid learning,1
autonomic systems,1
cognitive robotics,1
commonsense knowledge,1
logic integration,1
symbolic reasoning systems,1
collaborative decision support systems,1
human-ai interaction,1
service ecosystem,1
hierarchy of knowledge,1
theory of learning,1
inconsistent knowledge bases,1
probabilistic logic programming,1
stable model semantics,1
scalable reasoning,1
artificial intelligence (ai),1
digital building twin (dbt),1
knowledge base question answering (kbqa),1
backward-chaining,1
horn logic,1
tuple generating dependencies,1
convex cones,1
temporal description logics,1
neurosymbolic system,1
rule compliance,1
neural-symbolic cycle,1
interpretable vectors,1
shap,1
probing large language models,1
conceptual spaces,1
data-frugal ai,1
embodied intelligent agents,1
human-ai teaming,1
knowledge comprehensibility,1
digital democracy,1
public deliberation,1
higher-order reasoning,1
knowledge hypergraphs,1
enterprise modeling applications,1
public sector,1
knowledge-enabled robot,1
service robot,1
task planning,1
gnns,1
black-box,1
concept extraction,1
explicit feedback,1
rating prediction,1
deep belief network (dbn),1
ship-to-shore cranes (stscs),1
supply chain,1
systematic mapping study,1
rdfs,1
efficient queries,1
knowledge bases,1
meta-reasoning,1
spatial data mining,1
query answering,1
deep representation learning,1
graph analysis,1
assertional box,1
parallel reasoning,1
cold-start,1
document representation,1
entities,1
neuro-symbolic representation,1
subgraph search,1
activity primitive,1
human activity understanding,1
knowledge engine,1
logic rule,1
large-scale abox reasoning,1
owl dl,1
neural symbolic learning,1
owl 2,1
reasoner,1
approximate entailment,1
ontology reasoner,1
multi-hop logical query answering,1
precision public health,1
collaborative systems,1
transformer network,1
reason-able embeddings,1
knowldge graph embeddings models,1
medical imaging,1
inductive kg completion,1
time intervals,1
time prediction,1
causality,1
ai tools,1
generalized annotated logic,1
graphical reasoning,1
logic programming,1
neuro symbolic reasoning,1
open world reasoning,1
temporal logic,1
language-endowed intelligent agents (leias),1
learning through dialogue between dl model and leia,1
lifelong learning,1
ir,1
hybrid systems,1
compositional models,1
part-based object classification,1
spiking neural network,1
algebraic learning,1
category,1
logic reasoning,1
semigroup,1
expert knowledge graphs,1
part-based object detection and classification,1
computational intelligence,1
e-governance,1
inductive logic programming,1
raw data,1
preferential description logics,1
typicality,1
logical inference,1
neural reasoning,1
rpms,1
visual analogy,1
activity recognition,1
ceur-ws,1
vadalog,1
closed-world assumption,1
open-world assumption,1
practical reasoning,1
el embeddings,1
explainable systems,1
explanations,1
subsymbolic ai,1
event processing,1
event queries,1
agi,1
cognitive architecture,1
general semantics,1
levels of abstraction,1
inconsistency checking,1
relational reasoning,1
deep deductive reasoners,1
memory-augmented networks,1
concept refinement,1
global explanations,1
human-understandable explainable ai,1
learning from constraints,1
neuro symbolic methods,1
automl,1
neural theorem prover,1
rule schema,1
energy function,1
industrial automation,1
sampling,1
neural symbolic artificial intelligence,1
statistical relational artificial intelligence,1
heuristic search,1
deductive reasoning,1
knowledge graph entailment,1
explainable decision support system,1
the description logic elh,1
resolution,1
tensorization,1
explainable recommender systems,1
deep symbolic learning,1
ethical artificial intelligence,1
deep networks,1
markov logic networks,1
symbolic models,1
cyber-social threats,1
disaster resilience,1
multimedia event processing,1
spatiotemporal events,1
video stream processing,1
idss,1
inference,1
environmental science,1
geospatial ai,1
decision fusion,1
laser shock peening,1
monitoring,1
digitization of ancient books,1
multi-modal large language model,1
traditional chinese medicine knowledge graph,1
anomalous event tracking,1
digitization platform,1
subgraph matching algorithm,1
deep neuro fuzzy system (dnfs),1
fact-checking,1
fuzzy inference system,1
biological networks,1
generative adversarial networks (gans),1
synthetic data generation,1
dynamic evolution,1
key hyperparameters,1
sequence prediction,1
dynamic optimization,1
enterprise archives,1
harris hawks optimizer,1
course knowledge points,1
gas well deliquification,1
plunger lift,1
real-time fault diagnosis,1
adaptive geometric modeling,1
gaussian embedding,1
novel class discovery,1
point cloud semantic segmentation,1
blueprint personas,1
intelligent agent,1
trust,1
automated accident reporting,1
car damage detection,1
culpability prediction,1
swrl rules,1
cnc machining,1
progressive modeling,1
spindle thermal error,1
chinese named entity recognition,1
dual stream encoder,1
dynamic attention mechanism,1
multimodal named entity recognition,1
adaptive interaction protocols,1
topic-based group formation,1
mixture design,1
feed efficiency,1
livestock,1
omics,1
graph database,1
industry-education integration,1
skill mapping,1
vocational education,1
dual-supervisor system,1
cross-modal retrieval,1
dynamic contextual modeling,1
enterprise information governance,1
low-resource adaptation,1
automated construction of advanced mathematics,1
educational application,1
pre-training,1
explainable machine learning,1
datasets rotation,1
dynamic relative threshold,1
joint optimization,1
pseudo-label iteration,1
community detection,1
graph-based analysis,1
social networks,1
swrl,1
boundary refinement,1
diabetic foot ulcer,1
dual-mode attention mechanism,1
hierarchical decoder,1
learnable image preprocessor,1
multiscale feature fusion,1
book publishing industry,1
delphi method,1
design thinking,1
generate–retrieve–generate,1
hybrid-rag,1
ship welding process,1
molecular toxicity prediction,1
tox21,1
ontology model,1
deep learning in bioinformatics,1
protein property prediction,1
protein representation learning,1
sequence-structure integration,1
graph networks,1
hybrid representation,1
model interpretation,1
haptic feedback,1
intelligent music education,1
light field display,1
digital pathology,1
gastric cancer,1
treatment response,1
korean cultural,1
multi-hop inference mechanism,1
complex contacting surfaces,1
extrapolation tasks,1
knowledge-data hybrid modeling,1
noisy signal,1
sparse data,1
disaster risk detection,1
vision-language models (vlms),1
delay-alignment strategy,1
industrial process monitoring,1
intelligent manufacturing,1
temporal convolutional network (tcn),1
time-series prediction,1
advanced data analytics,1
genai,1
graph-based retrieval-augmented generation,1
prescriptive analytics,1
prescriptive platforms,1
multi-chain reasoning,1
clinical trial,1
event knowledge graph,1
future event prediction,1
llm temporal reasoning,1
metacognitive theory,1
bertt5-kbqa,1
knowledge-aware networks (kan),1
online education recommendation,1
personalised learning,1
two-tower architecture,1
intelligent diagnosis and treatment,1
opportunities,1
traditional chinese medicine (tcm),1
elasticsearch,1
intelligent legal consulting,1
legal bert,1
legal-onto,1
react framework,1
vietnamese law,1
activity cliffs,1
endocrine disrupting chemicals,1
nuclear hormone receptors,1
additional key words and phrasesmural,1
gpt-4v(ision),1
outpainting,1
fuzzy cognitive fusion,1
large-scale e-learning,1
personalized exercise recommendation,1
cross-lingual entity alignment,1
multilingual text summarization extraction,1
rotate,1
dynamic subgraph reasoner,1
knowledge-based question answering,1
knowledge-enhanced multimodal embedding network,1
temporal context modeling,1
graph random walk,1
multi-relation,1
ability cultivation,1
ai empowerment,1
e-commerce data analysis,1
teaching model,1
biological knowledge graph,1
"deep learning, graph convolutional networks",1
prostate cancer,1
scheduling optimization,1
station operation plan,1
phenotype-driven,1
prioritization ranking,1
rare disease diagnosis,1
chatgpt-4turbo,1
deepseek-r1,1
model evaluation,1
practical document generation,1
vector knowledge base,1
image-text semantic matching,1
multimodal evidence alignment,1
multimodal rumor detection,1
scene graph attention network,1
accurate identification,1
durian pests and diseases,1
industry & innovation and infrastructure,1
intelligent durian plantation management,1
pest and disease control,1
yolo-v8,1
interpretable framwork,1
mirna-lncrna interactions,1
multi-source similarity,1
multi-view projection fusion,1
random parallel matrix factorization,1
catchment basins,1
mineral prospectivity mapping,1
xgboost,1
hybrid human-ai workflows,1
knowledge graph validation,1
graph convolution networks(gcn),1
aquaculture net cage,1
fish monitoring,1
hybrid analysis and modelling,1
salmon behaviour,1
single-beam echosounder,1
geographically anchored interactive narratives,1
walking route recommender systems,1
academic performance prediction,1
lstm-transformer hybrid model,1
geological hazards,1
loess slope,1
course recommendation system,1
modern education,1
dangling entity detection,1
statistical learning,1
human-ai collaboration,1
bi-directional long short-term memory,1
residual learning,1
multimodal knowledge base,1
vision language models,1
healthcare ai,1
llama 3,1
multimedia information retrieval,1
construction contract,1
risk identification,1
cross-modal text-video retrieval,1
hierarchical filtering mechanism,1
video frame enhancement,1
interpretable ml,1
spatial-temporal characteristics,1
synchronize knowledge,1
transient stability assessment,1
automatic checking,1
building information modeling,1
generative artificial intelligence (gai),1
graphs,1
additive manufacturing,1
design for additive manufacturing,1
knowledge graph question answering (kgqa),1
logical programming (prolog),1
conceptual product design,1
design knowledge,1
heuristic product ideation,1
interpretable knowledge graph,1
novel product iteration,1
joint multimodal entity-relation extraction,1
domain generalization,1
spall-size estimation,1
multi-source impulse mixture signal processing,1
performance degradation assessment,1
reciprocating machinery,1
data-driven anomaly detection,1
knowledge-based diagnosis,1
message passing neural networks,1
molecular modeling,1
railway operational equipment,1
th-rotate,1
geometry problem understanding,1
knowledge-guided entity and relationship extraction,1
semantic information extraction,1
biological pathway,1
random walk,1
education domain,1
ims learning tools interoperability (lti),1
learning assistant,1
business integration,1
business processing,1
intelligent consultation,1
library,1
clinical decision support system,1
fuzzy semantics learning,1
fuzzy temporal knowledge graph,1
global structure learning,1
unsupervised,1
key parts,1
military targets,1
patent infringement analysis,1
personalized learning system,1
feature factorization,1
long-short-term-memory neural network,1
solar radiation forecast,1
automated compliance checking,1
safety management,1
data-knowledge-driven,1
medical text,1
phenotype alignment,1
pretraining language model,1
biocontrol agents,1
contextual,1
hypreto,1
mosquito vector,1
question-answering,1
knowledge-refined modeling,1
quality prediction,1
soft sensor,1
multimodal signals,1
obstructive sleep apnea-hypopnea syndrome,1
personalized healthcare,1
multimodal information processing,1
object recognition,1
in-situ monitoring,1
laser power bed fusion,1
prior knowledge,1
product design,1
domain ontologies,1
hybrid ensemble,1
shado,1
biological knowledge integration,1
drug-target interaction,1
hint-based learning,1
acupuncture clinical decision-making,1
brain compensation mechanisms,1
intelligent agents,1
knowledge-driven ai,1
hierarchical transformer,1
personalized health recommendations,1
human-in-the-loop systems,1
hybrid recommender,1
labor-market analytics,1
sequence forecasting,1
knowledge recommendation,1
path-based embedding,1
ptranse-cf model,1
amazon web services (aws),1
hybrid ai systems,1
serverless ml,1
ticket classification,1
b2b2g data sharing,1
continuous data integration,1
enterprise data governance,1
llm-assisted semantic data modeling,1
intelligent energy management,1
syndispatchnet,1
privacy alignment,1
privacy testing,1
static analysis,1
acoustic pattern analysis,1
bioacoustics monitoring,1
cattle vocalizations,1
multi-modal data fusion,1
precision livestock farming,1
comparative analysis,1
entity matching,1
lemmatization,1
computational literature review,1
concept hierarchy,1
embedded topic model,1
mhealth applications,1
mhealth technology innovation,1
qualitative methods,1
radiology report generation,1
ontology injection,1
railway engineering,1
context-aware sarcasm recognition,1
diffusion-based representation learning,1
multimodal sarcasm detection,1
explanability,1
malware ontology,1
periodontology,1
adaptive security solutions,1
attack path detection,1
auto mated mitigation,1
cyber security framework,1
dynamic policy adjustment,1
iot threats,1
network vulnerabilities,1
proactive defense,1
real-time response,1
risk assessment,1
threat analysis,1
zero-trust policies,1
education,1
emergency preparedness,1
training,1
virtual reality,1
bidirectional short-duration memory neural network,1
music emotion recognition,1
cell entity annotation,1
column property annotation,1
knowledge graph matching,1
semantic table understanding,1
contextual embeddings,1
figurative language detection,1
roberta-bigru-attention model,1
sarcasm classification,1
cross-domain question answering,1
retrieval enhancement generation,1
structured knowledge,1
gabor filters,1
image recognition,1
palmprint recognition,1
divide-and-conquer,1
knowledge base construction,1
lm-kbc,1
self-rag,1
clinactnet,1
clinical knowledge graph,1
ehr integration,1
patient activity recognition,1
multi-head latent attention mechanism,1
pre-synergistic fusion,1
bio-chemical,1
k-bert,1
knowledge injection,1
medical ner,1
news detection,1
intelligent domain environments,1
metaheuristics,1
neural network learning,1
agentic workflows,1
event extrapolation,1
temporal knowledge graphs (tkgs),1
agricultural modeling,1
strategic reasoning,1
symbolic formalization,1
electric power switchgear,1
state perception,1
yolov11,1
attention-based reasoning,1
hypergraph knowledge enhanced network,1
dolce,1
cucumber knowledge,1
large language modeling,1
wind turbine faults,1
hierarchical attention mechanism,1
knowledge base system,1
multimodal information fusion,1
convmultiview,1
multiview representation,1
tokopedia,1
ai-based poem analysis,1
educational software,1
adaptive selection mechanism,1
dual-path encoding,1
multi-dimensional convolution,1
auto ml,1
cloud-based deployment,1
multimodal stress indicators,1
predictive analytics,1
real-time inference,1
shap value,1
temporal data analysis,1
hypergraph,1
multi gene synergy,1
multimodal imbalance,1
synthetic lethality,1
ideological education,1
political course recommendation,1
multi-feature fusion,1
stable matching,1
book recommendation,1
hulbert index,1
jiang-conrath similarity,1
proposed hsib model,1
rnn,1
internet recruitment,1
person-job matching,1
power standards,1
data privacy compliance,1
regulatory compliance automation,1
wearables,1
cyber security,1
intrusion detection system (ids),1
kolmogorov arnold networks,1
wireless sensor networks,1
harmful text detection,1
joint retrieval framework,1
multilingual ai,1
(llms),1
ahimsa,1
ai alignment,1
ancient indian ethics,1
arthashastra,1
bhagavad gita,1
cross-cultural ethics,1
cultural inclusivity,1
dharma,1
ethical validation frameworks,1
fairness accountability and transparency,1
indigenous knowledge systems in ai,1
mahabharata,1
manusmriti,1
multicultural ai ethics,1
ramayana,1
responsible ai development,1
tirukkural,1
upanishads,1
vasudhaiva kutumbakam,1
workspace ethics,1
yoga sutras of patanjali,1
mcts,1
sequential planning,1
design science research methodology (dsrm),1
information dashboard,1
information dashboard design method (iddm) canvas,1
information dashboard design ontology (iddo),1
information governance (ig),1
ontological modelling,1
unified ontological approach (uoa),1
hybrid strategy,1
interference channel,1
spectral efficiency,1
wireless resource allocation,1
clinical diagnosis,1
cross-modal analysis,1
eeg,1
hypothesis,1
mri,1
intelligent question-answering,1
kg,1
cancer care,1
patient monitoring,1
black box,1
deep learning–based model,1
electronic medical record,1
hypertensive intracerebral hemorrhage,1
medical domain knowledge graph,1
era of integrated media,1
news,1
case laws,1
judicial text,1
legal domain features,1
legal knowledge base,1
rule-based,1
verdict recommendation,1
gene ontology,1
lincs datasets,1
molecule fingerprint,1
computational efficiency,1
predictive business insights,1
encoder-decoder,1
joint gradient update,1
multi-relational graph,1
relational direction,1
handling stability,1
physical dynamic model,1
vehicle dynamics,1
cbam,1
deeplabv3+,1
mechanical assembly images,1
mobilenetv2,1
part error correction,1
feature joint learning,1
interpretability analysis,1
large model feature extraction,1
phosphate modification site identification,1
bidirectional encoder representation from transforms (bert) fine-tuning,1
knowledge graph completion (kgc),1
cognitive systems,1
legal technologies,1
clinical profile prompts,1
interpretable artificial intelligence,1
medical intelligent systems,1
ophthalmic disease detection,1
bilstm-crf,1
gat,1
vekg,1
vocational education knowledge graph,1
bm25,1
knowledge co-creation,1
multi-head attention mechanism,1
value identification,1
rule inference pattern,1
high-speed train,1
hybrid dynamic masking,1
multi-strategy fusion,1
overlapping triplets,1
relation attention,1
rule mining,1
corporate financial risks,1
early warning model,1
method optimization,1
graph neural network(gnn),1
carbon flux partitioning,1
causal effect estimation,1
double machine learning,1
knowledge-guided machine learning,1
temperature sensitivity,1
unsupervised nlp,1
vertical domain,1
disease knowledge graph,1
ehr coding,1
graph propagation,1
hybrid attention,1
icd,1
course knowledge graph,1
long short-term memory (lstm) network,1
performance prediction,1
semantic feature,1
cnn network,1
crop,1
diseases and pests,1
intent detection,1
slot filling,1
cultural relics conservation,1
cultural relics seismic damage,1
event ontology,1
multi-source information fusion,1
fusion techniques,1
pretraining techniques,1
common sense question and answering,1
knowledge base fusion,1
local feature fusion prediction,1
whitening of sentence representations,1
description information,1
eye tracking,1
image semantic segmentation,1
system fault diagnosis,1
progressive herbal recommendation,1
real-world clinical decision support,1
syndrome differentiation,1
treatment method determination,1
candidate entity generation,1
multimodal co-attention fusion,1
data driven recruitment,1
intelligent recruitment decision support system,1
inductive relation prediction,1
logic transformer,1
author profiling,1
authorship analysis,1
semi-supervised framework,1
item attribute cooperation signal,1
mechanism of attention,1
cluster,1
filter,1
gene expression data,1
microarray,1
wrapper,1
gumbel-softmax,1
temporal logical rule,1
semanic reinforcement,1
named entity disambiguation,1
named entity recog-nition,1
system of system,1
embedding fusion,1
chain-prompting,1
knowledge-enhanced multimodal models,1
ophthalmic report generation,1
evidence based medicine,1
elderly travel education,1
memory management,1
citation graph,1
hybrid search,1
vector database,1
verbalization,1
domain-specific small models,1
molecular representation learning,1
computer-aided diagnosis,1
medical image processing,1
multimodal pre-trained large model,1
semantic enhancement,1
tensor factorization,1
可解释性,1
循环神经网络,1
推荐系统,1
注意力机制,1
知识图谱,1
resource discovery,1
digestive endoscopic nursing,1
questionnaire survey scale,1
retrieval enhanced generation technology,1
giacomo leopardi,1
tei/xml,1
rule embedding,1
uncertain knowledge graphs reasoning,1
weighted triples,1
compatibility,1
node-weighted hits,1
restful api,1
workflow activity interface parameters,1
cognitive semantic communications,1
generative adversarial networks,1
image semantic communications,1
cross-language document analysis,1
self-improving large language models,1
glove,1
joint alignment,1
intelligent education,1
personalization,1
diagnostic prediction,1
explainable multi-omics integration,1
module identification,1
subgraph interpretation,1
enhanced multimodal transformer,1
image text retrieval,1
hierarchical directed graph,1
q&a knowledge reasoning,1
complex vector space,1
drug pair representation,1
drug-drug interaction,1
chinese short-text matching,1
intelligent substation,1
virtual circuit,1
low-resource language kg,1
wasserstein distance,1
heterogeneous propagation,1
homogeneous propagation,1
a,1
integrated energy system (ies),1
knowledge guide,1
multivariate load forecasting,1
spatial-temporal synchronous graph convolutional network,1
tm714,1
graph reasoning path,1
hybrid explanation,1
review documents,1
integration framework,1
prototype,1
clinical reports,1
multimodal graph learning,1
plant disease classification,1
tomato disease ontology,1
bertbigru-crf,1
walnut disease and pest,1
material flow integration,1
sustainable development,1
cellular automata,1
modelling,1
petri nets,1
deep semantic matching,1
hybrid q&a method,1
reorder,1
petroliferous basins,1
owls,1
semantic web services,1
sparql query language,1
condition assessment,1
health index (hi),1
joint inference,1
measurement analysis,1
power transformer,1
joint reasoning,1
global reasoning,1
item_by_item reasoning,1
methodologies and tools,1
multi-hop kgqa,1
joint training model,1
adapters,1
healthcare data,1
healthcare institution,1
healthcare institutions,1
heterogeneous,1
physician,1
physician reasoning,1
physicians,1
proprietary information,1
blocking function,1
internal and external horizon,1
sliding window,1
tree species identification,1
bilstm,1
multi-modal consistency,1
ontoloey enhancement,1
triple,1
english sentences,1
quick retrieval,1
tf-idf algorithm,1
diagnostic system,1
drainage pipeline,1
knowledge-data collaboratively driven,1
multiscale long short-term memory (mlstm),1
silting disease,1
autoencoder,1
attribute semantic,1
relationship matching,1
additional key words and phraseselectronic health record,1
data mining with ontologies,1
predictive data analytics,1
combination optimization,1
modality hybrid,1
emotion state recognition,1
physiological signal,1
ubiquitous computing,1
confidence estimation,1
fine-grained emotion analysis,1
online comments,1
geological map knowledge graph,1
mineral prospectivity mapping of gold deposits,1
spatial alignment of knowledge and space,1
dependency tree,1
relationship extraction,1
paired sampling,1
preference propagation,1
few-shot knowledge graph completion,1
type-aware attention,1
annotation-free,1
chu nom,1
document image analysis,1
hausdorff edit distance,1
hybrid deep learning,1
keyword spotting,1
vietnamese steles,1
biomarkers,1
hubs,1
vulvar cancer,1
medical report generation,1
knowledge graph enhanced recommendation,1
non-sampling strategy,1
drug combinations,1
infectious diseases,1
virtual screening,1
multi-source knowledge graphs,1
pre-training and re-training,1
transferable representation learning,1
biomedical knowledge fusion,1
few-shot prompting,1
large language models for resource-constrained field,1
retrieve & re-rank,1
knowledge graph (kg) embedding,1
von mises-fisher (vmf) distribution,1
heterogeneous embedding,1
multi-modal feature fusion,1
cnn-lstm model,1
event calculus,1
pomdp,1
probabilistic commonsense reasoning,1
probabilistic planning,1
adversarial network,1
multi-focus,1
pre-processing,1
learning of attribute character embeddings,1
learning of structural embeddings,1
knowledge-based attention mechanism,1
online health platform,1
question-answer pair matching,1
item response theory,1
semantic projection,1
multi-modal knowledge,1
knowledge-aware attention,1
multi-view gnn,1
multi-view knowledge graph fusion,1
graph-based embedding,1
ontology-based knowledge graph,1
post-hoc explanations,1
dpcnn,1
ernie,1
text match,1
noisy data,1
bert language model,1
joint extraction of entity and relation,1
maize breeding,1
sequence labeling,1
graph attention networks,1
graph representation learning,1
external load,1
fuzzy model,1
injury prediction,1
sport data analysis,1
knowledge-graph-enhanced recommendation,1
neural language processing,1
temporal knowledge graph question answering,1
joint disambiguation,1
subgraph,1
teaching,1
counterfactual explanations,1
heterogeneous graph neural network,1
iterative fusion,1
kg integration,1
machine learning applications,1
neural machine verbalization,1
case-based-reasoning,1
diagnosis,1
relation typing,1
graph alignment,1
structure learning,1
augmented intelligence of things (aiot),1
machine learning technology on graphs,1
smart enterprise management systems (ems),1
bert-based interaction network,1
bert-based siamese network,1
kbqa,1
pointer network,1
banana,1
fusarium oxysporum f. sp. cubense race 4,1
protein–protein interactions,1
sequence alignment,1
integer programming (ip),1
extraction,1
graph-based algorithms,1
sentence embedding,1
short text classification,1
textrcnn,1
knowledge graph-based question answering,1
macro process planning,1
stacked auto-encoders,1
biomedical ontology,1
hyperbolic attention,1
automated medical learning,1
distributed learning,1
beaked sea snake,1
hydrophis schistosus,1
proteomics,1
transcriptomics,1
venom,1
collaboratively boosting framework (cbf),1
deep semantic segmentation network (dssn),1
remote sensing (rs) imagery,1
entity converting,1
horn rules,1
joint semantics and data-driven,1
path representation,1
attention model,1
video popularity prediction,1
biomedical entity alignment,1
biomedical entity resolution,1
biomedical knowledge base,1
hin,1
network embedding,1
doctor recommendation,1
interpretable recommendation,1
online healthcare,1
data-driven networks,1
general machine intelligence,1
real-time,1
label construction,1
mass cultural and sports activities,1
multi-condition query,1
biomedical pretrained language model,1
knowledge augmented,1
entity-relation pair,1
joint entity and relation linking,1
knowledge base question answering(kbqa),1
cypher,1
kgtk,1
kypher,1
similarity,1
bioprocess engineering,1
gaussian process models,1
grey box modelling,1
mammalian cell cultures,1
nonlinear system identification,1
nonparametric methods,1
time series modelling,1
adaptive genetic algorithm,1
attribute reduction,1
back propagation neural network,1
classification prediction,1
knowledge graphs visualization,1
criminology,1
bert-bilstm-crf,1
knowledge triple,1
semantic roles,1
winograd schema challenge,1
language identification,1
similarity fusion,1
event assignment,1
event text classification,1
government hotline,1
graph convolution networks,1
few-shot,1
learning (artificial intelligence),1
one-shot,1
semantic networks,1
deep video understanding,1
few shot learning,1
interaction analysis,1
relationship analysis,1
adaptive clustering algorithm,1
multi-kernel learning,1
knowledge elicitation,1
multi-level initiatives,1
policy context,1
smart city,1
axon guidance,1
connectivity,1
connectome,1
micropattern,1
network,1
medical data,1
feature reduction,1
multi-omics,1
counterfactuals,1
multi-modal causability,1
model fusion,1
path generation,1
topic entity recognition,1
neural network model,1
combination learning,1
simple questions,1
cardiovascular diseases,1
lexical matching,1
mental disorders,1
power metering,1
inductive logic learning,1
symbolic methods,1
cross-language entity alignment,1
translation model,1
joint semantic representation,1
hybrid semantic matching,1
joint model,1
entity embedding,1
spatio-temporal information,1
property knowledge graph,1
feature attention mechanism,1
few-shot link prediction,1
hybrid matching network,1
clinical concept normalization,1
co-attention mechanism,1
chinese tea text,1
knowledge representation learning (krl),1
seed set,1
translating model,1
query expansion,1
term frequency,1
network analysis,1
scientific question answering,1
text entailment analysis,1
neural network pruning,1
sensor fusion,1
joint learning,1
knowledge base population,1
entity hierarchical type,1
bi-directional lstm (bi-lstm),1
diseases,1
models,1
wheat stripe disease forecasting,1
disease diagnosis,1
expert experience,1
multi-channel,1
embedding models,1
oceanography,1
fuzzy integral,1
information aggregation,1
linguistic summary,1
protoform,1
embedding model,1
modeling coherence,1
modeling context,1
ethnic universities,1
painting art rendering,1
exploratory data analysis,1
metacognitive treatment,1
clinical data harmonisation,1
concept mapping,1
ai-generated digital twins,1
alzheimer's disease,1
clinical trial efficiency,1
anomaly traceability,1
explainable modeling,1
industrial processes,1
knn algorithm,1
agent,1
query understanding,1
recommendations,1
algorithmic bias,1
algorithmic fairness,1
risk prediction,1
stroke,1
indicator recommendation,1
embedding representation,1
quaternion,1
entropy awareness,1
ad classification,1
labse,1
multilingual classified ads,1
ai-driven career guidance,1
emotion analysis,1
google cloud speech-to-text,1
multi-agent architecture,1
multilingual support,1
personalized recommendations,1
rule-based ai,1
sankalp,1
sustainable development goals,1
vader sentiment analysis,1
voice assistant,1
clause alignment,1
deep semantic modeling,1
interdisciplinary computational sciences,1
legal text analysis,1
transformer-based encoders,1
academic writing translation,1
complex sentence generation,1
english-chinese machine translation,1
optimized bert model,1
semantic alignment mechanism,1
syntactic enhancement decoder,1
esco,1
multilingual job title matching,1
job title matching,1
skill prediction,1
ocr,1
real estate,1
web 3,1
automatic machine translation algorithms (amtas),1
cross-cultural communication,1
film and television media,1
multi-modal data integration,1
generate question,1
matching,1
quality assessment,1
ai in recruitment,1
applicant tracking system (ats),1
automated resume screening,1
hr technology,1
nlp (natural language processing),1
recruitment automation,1
resume ranking,1
rank learning,1
temporal context,1
embedding filtering,1
data lake infrastructure,1
data retrieval,1
retrospective cohort studies,1
secondary use of clinical routine data,1
beps,1
bim to bem,1
fine tuning llm,1
semantic textual similarity,1
cross-lingual semantic similarity,1
kannada monolingual embedding,1
lexical decomposition,1
sentence similarity,1
short-text semantic similarity,1
advanced intelligence algorithms,1
verb recognition,1
conditional optimal transport,1
table representation,1
table retrieval,1
web search,1
diffusion tensor imaging,1
hypothermia,1
hypoxic-ischemic encephalopathy,1
magnetic resonance imaging,1
myelination,1
neonatal brain atlas,1
neonatal brain injury,1
neural development,1
outcome prediction,1
prognostic prediction,1
additional key words and phrasescross-lingual,1
triple reward,1
residual network,1
adhd,1
irt,1
kernel equating,1
linear equating,1
test equating,1
cross-language image description,1
multimodal deep learning,1
reward mechanisms,1
building matching,1
completeness assessment,1
large-scale footprint extraction evaluation,1
proxy data,1
semantic evaluation,1
geometric features,1
multisource data,1
one-class classifier,1
context knowledge,1
user involvement,1
agile software industry,1
crowd documentation,1
question-answering websites,1
data verification,1
r&d data,1
text similarity,1
pivot language,1
cross-domain search,1
product search,1
search and ranking,1
bayesian kriging method,1
energy monitoring,1
indonesia,1
hard matching,1
semantic information,1
summarization evaluation,1
automatic coding,1
decomposble attention,1
ancient classics,1
digital humanity,1
reference detection,1
item-related recommendation,1
dynamic compositional networks,1
correlation-free prediction analysis,1
data record sample densities,1
mineralogical and elastic influences,1
well-log brittleness index estimates,1
zoomed-in data interpolation,1
drug-excipient compatibility,1
expert system,1
formulation design,1
cross-lingual retrieval,1
dynamic composition,1
treelstm,1
5g,1
active learning,1
communication,1
conspiracy,1
conspiracy theories,1
coronavirus,1
health communication,1
infodemic,1
infodemiology,1
misinformation,1
twitter,1
vaccine,1
vaccine hesitancy,1
cross attention mechanism,1
super resolution,1
transition amplification,1
commonsense modeling,1
multi-turn dialogue comprehension,1
response selection,1
utterance selection,1
quaternion embedding,1
belief theory.,1
intrinsic and extrinsic quality,1
multi-criteria data matching,1
openstreetmap,1
reference data,1
spatial accuracy,1
spatial data,1
graph structure,1
holographic model,1
link inference,1
cross-lingual information retrieval,1
cross-lingual word embedding,1
neural clir,1
translation gap,1
alignment supervision,1
bilingual phrase representation,1
recursive autoencoder (rae),1
bidl,1
clada,1
iconographic subject,1
iconography,1
icons,1
religious icons,1
virtual encyclopedia of bulgarian icons,1
expert finding,1
expertise retrieval,1
stackoverflow,1
statistical machine translation,1
news recommendation,1
generative news recommendation,1
diabetes,1
extractive summarization,1
medical text summarization,1
indicator system fusion,1
adaptive fusion,1
heterogeneous information fusion,1
semantic join,1
materials discovery,1
semantic role labeling,1
sembert,1
data alignment,1
life data analysis,1
decision trees,1
foundation model,1
multiscale,1
alignment-embedding mechanism,1
property graph database,1
graph model heterogeneity,1
stix,1
fine tuning,1
data fusio,1
reciprocal rank fusion,1
residual correction,1
connecting ontology,1
knowledge enrichment,1
term extraction,1
relation discovery,1
axiom learning,1
content-based filtering,1
smart buildings,1
intelligent control,1
news fly spark,1
digital scene map generation,1
image cropping,1
semantic transformation,1
extended information,1
time series data,1
score integration,1
pose data,1
dynamic time warping,1
fast fourier transform,1
mbse,1
model-based collaboration,1
systems engineering,1
sysml v2,1
blockchain-enabled linguistic analytics,1
ideological fidelity,1
score (ifs),1
neural machine translation (nmt),1
semantic and stylistic fidelity,1
table integration,1
